OBJECTID,Trail Segment Type,Location,Status,Structure ID,Material,Map Miles,Width (ft),Structure Type,Structure Tonnage,Trail Name,Owner,ADA,Shape__Length,Closure Status,Trailhead ID,GlobalID,AccessAddress,CouncilDistrict
704,Trail,Loblolly Segment,Existing,NA,Natural,0.11462293,4,NA,0,Richland Creek Trail,Other,NO,605.209090823853,OPEN,330,8daeca45-1fe7-4f9c-ac5d-ea16481dba3d,5810 Reedy Creek Rd,D
705,Structure,Loblolly Segment -  # 79,Existing,79,Wood Decking,0.00189395,0,Bridge,0,Richland Creek Trail,Other,NO,10.0000547562787,OPEN,330,d384c9dc-f0a5-4dc8-89b2-20257edc7fae,5810 Reedy Creek Rd,D
706,Trail,Loblolly Segment,Existing,NA,Natural,0.1235107,4,NA,0,Richland Creek Trail,Other,NO,652.136513832748,OPEN,330,069365db-5ad9-4fbf-80aa-435e596769a6,5810 Reedy Creek Rd,D
707,Trail,Reedy Creek Trail,Existing,NA,Asphalt,0.50576273,10,NA,0,Reedy Creek Trail,COR,YES,2670.13350238502,OPEN,324,e663fac9-997f-4888-b417-4c12c7463063,3746 Trenton Rd,
708,Trail,Loblolly Segment,Existing,NA,Asphalt,0.04489414,10,NA,0,Richland Creek Trail,Other,NO,237.041077191837,OPEN,328,2266ba31-516d-4822-8c0d-ea7db26a13e0,1310 Edwards Mill Rd,D
709,Trail,Loblolly Segment,Existing,NA,Natural,0.20660355,15,NA,0,Richland Creek Trail,Other,NO,1090.8667503847,OPEN,328,32a11a87-ba86-43fa-91a1-cb638004b1bc,1310 Edwards Mill Rd,D
710,Trail,Loblolly Segment,Existing,NA,Natural,0.01708192,4,NA,0,Richland Creek Trail,Other,NO,90.1925146459344,OPEN,330,c7232c61-a5be-40d3-9b60-af1bed06c274,5810 Reedy Creek Rd,D
711,Structure,Loblolly Segment - # 2022,Existing,2022,Natural,0.02853816,15,Tunnel,,Richland Creek Trail,Other,NO,150.681479903937,OPEN,328,6563bd0b-134b-4b28-adf2-b7ff9855431e,1310 Edwards Mill Rd,D
712,Structure,Reedy Creek Trail -  # 2006,Existing,2006,Asphalt,0.03156262,10,Tunnel,,Reedy Creek Trail,COR,YES,166.650624608862,OPEN,319,5bb535a9-1ccb-44e5-b618-45a996eeafe4,1901 Edwards Mill Rd,D
713,Trail,Reedy Creek Trail,Existing,NA,Asphalt,0.09835875,10,NA,0,Reedy Creek Trail,COR,YES,519.26810643035,OPEN,319,c3f219de-1dc6-4a07-97d6-68ac77db03c4,1901 Edwards Mill Rd,D
714,Structure,Loblolly Segment - # 2025,Existing,2025,Concrete,0.10371981,10,Tunnel,,Richland Creek Trail,Other,NO,547.640575946422,OPEN,328,27732288-f922-4544-affc-35c06ddf071c,1310 Edwards Mill Rd,D
715,Trail,Edwards Mill Connector,Existing,NA,Asphalt,0.45399925,10,NA,0,Edwards Mill Connector,COR,YES,2397.07715320183,OPEN,138,54de5612-8a92-42f2-846b-1d57cbdbc4dc,1796 Edwards Mill Rd,D
716,Trail,Edwards Mill Connector,Existing,NA,Concrete,0.19530071,10,Sidewalk,0,Edwards Mill Connector,COR,YES,1031.12727666771,OPEN,139,0a7c0194-cfdd-4d93-a66c-5c5def740a71,1900 Edwards Mill Rd,D
717,Trail,Edwards Mill Connector,Existing,NA,Asphalt,0.07621814,10,NA,0,Edwards Mill Connector,COR,YES,402.38787363763,OPEN,128,807c3174-0efa-40b9-beca-4d28730ba91a,1300 Edwards Mill Rd,D
718,Trail,Edwards Mill Connector,Existing,NA,Asphalt,0.0594581,10,NA,0,Edwards Mill Connector,COR,YES,313.919663100935,OPEN,129,94b0454e-73a3-4075-91e8-06d74c97b69b,1306 Edwards Mill Rd,D
719,Trail,Edwards Mill Connector,Existing,NA,Concrete,0.00474112,10,Sidewalk,0,Edwards Mill Connector,COR,YES,25.0331171699322,OPEN,129,51d06a68-76e0-4990-9dea-1478bee3c663,1306 Edwards Mill Rd,D
720,Trail,Edwards Mill Connector,Existing,NA,Asphalt,0.10712859,10,NA,0,Edwards Mill Connector,COR,YES,565.638953825502,OPEN,129,4bb0b4ea-120a-488e-aa71-8a20770070f7,1306 Edwards Mill Rd,D
721,Trail,Edwards Mill Connector,Existing,NA,Concrete,0.00474843,10,Sidewalk,0,Edwards Mill Connector,COR,YES,25.0717320542505,OPEN,130,114d906d-92ac-44f1-bdeb-c1af05685c95,1406 Edwards Mill Rd,D
722,Trail,Edwards Mill Connector,Existing,NA,Asphalt,0.03705326,10,NA,0,Edwards Mill Connector,COR,YES,195.641235936981,OPEN,130,c82e3e61-a247-4819-ae8e-564c730418b7,1406 Edwards Mill Rd,D
723,Trail,Edwards Mill Connector,Existing,NA,Concrete,0.02276807,10,Sidewalk,0,Edwards Mill Connector,COR,YES,120.215435310783,OPEN,130,948ec303-479f-410a-a554-294dfffafd68,1406 Edwards Mill Rd,D
724,Trail,Edwards Mill Connector,Existing,NA,Concrete,0.01135268,10,Sidewalk,0,Edwards Mill Connector,COR,YES,59.9421327538716,OPEN,130,b4b994cb-71d3-4708-a943-5988bdb506a6,1406 Edwards Mill Rd,D
725,Trail,Edwards Mill Connector,Existing,NA,Asphalt,0.02182515,10,NA,0,Edwards Mill Connector,COR,YES,115.236769125931,OPEN,130,9ab022d0-c802-4d01-be71-31a485da5fb7,1406 Edwards Mill Rd,D
726,Trail,Edwards Mill Connector,Existing,NA,Asphalt,0.08796336,10,NA,0,Edwards Mill Connector,COR,YES,464.446537902101,OPEN,130,d7e8af18-914e-4a2c-89d1-969ba076e298,1406 Edwards Mill Rd,D
727,Trail,Edwards Mill Connector,Existing,NA,Concrete,0.00473737,10,Sidewalk,0,Edwards Mill Connector,COR,YES,25.0133240905401,OPEN,131,2b3b4065-6fa2-4f16-acaf-a76857997d0e,1752 Edwards Mill Rd,D
728,Trail,Edwards Mill Connector,Existing,NA,Asphalt,0.08298336,10,NA,0,Edwards Mill Connector,COR,YES,438.152157377143,OPEN,131,0c46e73a-624c-4ecc-b2e8-d9859cff060f,1752 Edwards Mill Rd,D
729,Crossing,Edwards Mill Connector,Existing,NA,Asphalt,0.00841223,10,NA,0,Edwards Mill Connector,COR,YES,44.4165727452092,OPEN,131,582ab1e6-aabf-4579-b8b0-13eb4e663ddd,1752 Edwards Mill Rd,D
730,Trail,Edwards Mill Connector,Existing,NA,Concrete,0.01807927,10,Sidewalk,0,Edwards Mill Connector,COR,YES,95.4585239208138,OPEN,132,0d4a7efb-0371-4ae6-a040-cd3feeed85c5,1754 Edwards Mill Rd,D
731,Crossing,Edwards Mill Connector,Existing,NA,Asphalt,0.0100847,10,NA,0,Edwards Mill Connector,COR,YES,53.2472319815176,OPEN,133,fb909c0a-0f87-485e-887e-852f63e1fb5e,1756 Edwards Mill Rd,D
732,Trail,Edwards Mill Connector,Existing,NA,Concrete,0.05563947,10,Sidewalk,0,Edwards Mill Connector,COR,YES,293.776376078995,OPEN,134,aeff181c-baa7-4e31-bdc2-105fa40e1652,1758 Edwards Mill Rd,D
733,Crossing,Edwards Mill Connector,Existing,NA,Asphalt,0.01083687,10,NA,0,Edwards Mill Connector,COR,YES,57.218651302243,OPEN,136,0411b43a-85ad-460f-898e-060399bcea86,1790 Edwards Mill Rd,D
734,Trail,Edwards Mill Connector,Existing,NA,Concrete,0.03307076,10,Sidewalk,0,Edwards Mill Connector,COR,YES,174.613611473551,OPEN,136,0ecc9941-ded2-4502-84d9-6a23ea24af26,1790 Edwards Mill Rd,D
735,Crossing,Edwards Mill Connector,Existing,NA,Asphalt,0.00494986,10,NA,0,Edwards Mill Connector,COR,YES,26.1352659298743,OPEN,138,5c9c8821-cf4d-4039-a038-3b19b0b5e4a7,1796 Edwards Mill Rd,D
737,SidewalkConnection,House Creek Trail,Existing,NA,Asphalt,0.0146827565735412,10,NA,0,House Creek Trail,COR,YES,77.5249546850254,OPEN,175,fa339064-f7ff-4b6e-b951-68e974ef867f,3503 Horton St,E
738,SidewalkConnection,House Creek Trail,Existing,NA,Asphalt,0.0118053172940011,10,NA,0,House Creek Trail,COR,YES,62.3320752852489,OPEN,175,c9b71d68-5fb1-4473-8809-e209fb9d9df5,3503 Horton St,E
739,SidewalkConnection,House Creek Trail,Existing,NA,Asphalt,0.247058225223778,10,Sidewalk,0,House Creek Trail,COR,YES,1304.46742885126,OPEN,177,8d2d0f52-19f4-4421-befc-64a12b9c1b9f,3721 Horton St,E
